time,violation
0:00:03,NO-Mask
0:00:03,NO-Safety Vest
0:00:06,NO-Mask
0:00:06,NO-Hardhat
0:00:06,NO-Safety Vest
0:00:09,NO-Mask
0:00:09,NO-Safety Vest
0:00:10,NO-Hardhat
0:00:12,NO-Mask
0:00:12,NO-Safety Vest
0:00:15,NO-Safety Vest
0:00:15,NO-Mask
0:00:18,NO-Safety Vest
0:00:18,NO-Mask
0:00:22,NO-Safety Vest
0:00:27,NO-Safety Vest
0:00:27,NO-Mask
0:00:31,NO-Safety Vest
0:00:33,NO-Hardhat
0:00:34,NO-Safety Vest
0:00:35,NO-Mask
0:00:39,NO-Safety Vest
0:00:42,NO-Mask
0:00:42,NO-Safety Vest
0:00:45,NO-Safety Vest
0:00:46,NO-Mask
0:00:48,NO-Safety Vest
0:00:49,NO-Mask
0:00:51,NO-Safety Vest
0:00:52,NO-Mask
0:00:54,NO-Safety Vest
0:00:55,NO-Mask
